Property Type,Listing Type,Bedrooms,Bathrooms,Country Code,City,Zipcode,Latitude,Longitude,Currency Native,Airbnb Property ID,Airbnb Host ID,last_seen,cleaning_fee,Reporting Month,Blocked Days,Available Days,Scraped During Month,Occupancy Rate,Reservation Days,ADR (USD),ADR (Native),Number Of Reservation,Revenue (USD),Revenue (Native)
Entire home,entire_home,2,2,GB,Brighton,BN1 1BG,50.82214,-0.14175,USD,74819,394634,2024-01-10,46.0,2023-10,0,31,True,46.5,12,244,193,1,2974,2349
Entire rental unit,entire_home,1,1,GB,Brighton,BN1 4AQ,50.82745,-0.14099,USD,230787,1206208,2024-01-10,,2023-10,0,31,True,7.7,2,171,135,2,342,270
Private room in rental unit,private_room,1,1,GB,Brighton,BN3 4GP,50.82537,-0.18462,USD,280982,1464811,2024-01-10,10.0,2023-10,0,31,True,15.5,4,73,58,2,312,246
Entire townhouse,entire_home,6,3,GB,Brighton,BN2 9XH,50.82828,-0.12467,USD,282004,357161,2024-01-10,260.0,2023-10,0,31,True,0.0,0,537,424,0,0,0
Entire rental unit,entire_home,1,2,GB,Hove,BN3 3UA,50.83128,-0.16963,USD,338466,1718506,2024-01-10,33.0,2023-10,0,31,True,100,31,95,75,0,2945,2327
Entire rental unit,entire_home,1,1,GB,Hove,BN3 3AB,50.82738,-0.16405,USD,339054,1718506,2024-01-10,13.0,2023-10,0,31,True,100,31,88,70,0,2728,2155
Entire rental unit,entire_home,1,1,GB,Brighton,BN2 1RJ,50.82123,-0.1347,USD,380924,127009,2024-01-10,,2023-10,0,31,True,65.8,17,112,88,4,1904,1504
Entire rental unit,entire_home,1,1,GB,Hove,BN3 1HE,50.82496,-0.16139,USD,478625,2298136,2024-01-10,0.0,2023-10,0,31,True,100,27,138,109,0,3726,2944
Entire rental unit,entire_home,3,2,GB,Brighton,BN2 3DD,50.832,-0.129,USD,543770,2673333,2024-01-10,156.0,2023-10,0,31,True,15.5,4,419,331,1,1832,1447
Entire home,entire_home,3,2,GB,Brighton,BN2 9PE,50.82582,-0.12841,USD,568861,2799595,2024-01-10,65.0,2023-10,7,24,True,70.0,14,244,193,1,3481,2750
Private room in townhouse,private_room,1,1,GB,Brighton,BN1 7JG,50.84534,-0.13411,USD,640593,1389927,2024-01-10,20.0,2023-10,0,31,True,69.7,18,80,63,1,1460,1153
Entire home,entire_home,2,1,GB,Brighton,BN2 0GL,50.82467,-0.12781,USD,692000,3360252,2024-01-10,,2023-10,0,31,True,89.0,23,196,155,0,4508,3561
Private room in guesthouse,private_room,1,1,GB,Brighton,BN2 1RJ,50.82098,-0.13486,USD,696616,3567353,2024-01-10,0.0,2023-10,0,31,True,61.9,16,140,111,0,2240,1770
Private room in guesthouse,private_room,1,1,GB,Brighton,BN2 1GS,50.82113,-0.13379,USD,702057,3567353,2024-01-10,0.0,2023-10,0,31,True,81.3,21,138,109,3,2898,2289
