Property Type,Listing Type,Bedrooms,Bathrooms,Country Code,City,Zipcode,Latitude,Longitude,Currency Native,Airbnb Property ID,Airbnb Host ID,last_seen,cleaning_fee,Reporting Month,Blocked Days,Available Days,Scraped During Month,Occupancy Rate,Reservation Days,ADR (USD),ADR (Native),Number Of Reservation,Revenue (USD),Revenue (Native)
Private room in home,private_room,1,1,US,Malibu,90265,34.03073,-118.75513,USD,187526,215462,2024-01-03,,2023-10,0,31,True,0.0,0,350,350,0,0,0
Entire home,entire_home,3,2,US,Malibu,90265,34.03862,-118.62243,USD,287339,1494781,2024-01-03,300.0,2023-10,0,31,True,42.6,11,1331,1331,0,14641,14641
Private room in home,private_room,1,1,US,Malibu,90265,34.03074,-118.75723,USD,518815,215462,2024-01-03,,2023-10,0,31,True,15.5,4,300,300,0,1200,1200
Entire condo,entire_home,3,2,US,Malibu,90265,34.03309,-118.74573,USD,939688,5076940,2024-01-03,225.0,2023-10,0,31,True,0.0,0,1632,1632,0,0,0
Private room in guest suite,private_room,1,1,US,Malibu,90265,34.00876,-118.81379,USD,1153772,6323112,2024-01-03,100.0,2023-10,0,31,True,31.0,8,595,595,0,4760,4760
Entire guesthouse,entire_home,1,1,US,Malibu,90265,34.009,-118.8147,USD,1157077,6323112,2024-01-03,150.0,2023-10,0,31,True,34.8,9,895,895,0,8055,8055
Entire rental unit,entire_home,2,1,US,Malibu,90265,34.04181,-118.88698,USD,1220178,6656138,2024-01-03,125.0,2023-10,0,31,True,46.5,12,381,381,1,4697,4697
Entire home,entire_home,2,2,US,Malibu,90265,34.044,-118.741,USD,1298276,985427,2024-01-03,185.0,2023-10,0,31,True,23.2,6,299,299,1,1979,1979
Entire rental unit,entire_home,1,1,US,Malibu,90265,34.04327,-118.88437,USD,1628415,6656138,2024-01-03,,2023-10,0,31,True,46.5,12,281,281,1,3372,3372
Entire home,entire_home,3,3,US,Malibu,90265,34.03742,-118.58712,USD,1821054,9534111,2024-01-03,550.0,2023-10,0,31,True,73.5,19,887,887,0,16853,16853
Entire home,entire_home,2,1,US,Malibu,90265,34.02553,-118.77886,USD,1922497,9962732,2024-01-03,,2023-10,0,31,True,3.9,1,1000,1000,1,1000,1000
Entire home,entire_home,3,4,US,Malibu,90265,34.038,-118.64,USD,3156442,16016535,2024-01-03,500.0,2023-10,0,31,True,61.9,16,1046,1046,2,17736,17736
Entire villa,entire_home,5,3,US,Malibu,90265,34.03604,-118.60936,USD,3478607,16503811,2024-01-03,,2023-10,0,31,True,46.5,12,1581,1581,2,18972,18972
Entire rental unit,entire_home,1,1,US,Malibu,90265,34.03793,-118.61114,USD,3563679,17944041,2024-01-03,100.0,2023-10,0,31,True,100,29,575,575,0,16675,16675
Entire condo,entire_home,1,1,US,Malibu,90263,34.037,-118.676,USD,4205112,21817201,2024-01-03,,2023-10,0,31,True,69.7,18,482,482,1,8676,8676
Entire bungalow,entire_home,1,1,US,Malibu,90265,34.039,-118.672,USD,4256314,21817201,2024-01-03,,2023-10,0,31,True,50.3,13,457,457,0,5941,5941
Entire condo,entire_home,1,1,US,Malibu,90265,34.039,-118.672,USD,5488509,21817201,2024-01-03,,2023-10,0,31,True,100,26,476,476,3,12376,12376
Entire bungalow,entire_home,1,1,US,Malibu,90263,34.039,-118.673,USD,6081725,21817201,2024-01-03,,2023-10,0,31,True,58.1,15,476,476,0,7140,7140
Entire home,entire_home,4,3,US,Malibu,90265,34.038,-118.868,USD,6386586,9053701,2023-12-06,300.0,2023-10,0,31,True,0.0,0,500,500,0,0,0
Private room in home,private_room,1,1,US,Malibu,90265,34.04074,-118.61859,USD,7293369,37437994,2024-01-03,30.0,2023-10,0,31,True,100,29,159,159,1,4641,4641
Entire home,entire_home,3,2,US,Malibu,90265,34.03676,-118.63273,USD,8667902,9962732,2024-01-03,,2023-10,0,31,True,50.3,13,1145,1145,1,14885,14885
Entire home,entire_home,2,2,US,Malibu,90265,34.03616,-118.61272,USD,10362019,53331260,2024-01-03,175.0,2023-10,0,31,True,73.5,19,370,370,1,7205,7205
Entire home,entire_home,2,2,US,Malibu,90265,34.03584,-118.61083,USD,10431444,53331260,2024-01-03,175.0,2023-10,0,31,True,100,28,349,349,0,9772,9772
Private room,private_room,1,1,US,Malibu,90265,34.02044,-118.81636,USD,11880996,52798803,2024-01-03,0.0,2023-10,17,14,True,0.0,0,300,300,0,0,0
Entire home,entire_home,3,3,US,Malibu,90265,34.03586,-118.61609,USD,12041595,50848819,2024-01-03,550.0,2023-10,0,31,True,50.3,13,999,999,0,12987,12987
Entire home,entire_home,3,2,US,Malibu,90265,34.03952,-118.64553,USD,12836638,70019808,2024-01-03,,2023-10,0,31,True,27.1,7,459,459,0,3213,3213
Entire bungalow,entire_home,1,1,US,Malibu,90265,34.03322,-118.72655,USD,14042739,51230430,2024-01-03,175.0,2023-10,0,31,True,92.9,24,602,602,1,14623,14623
Entire guest suite,entire_home,1,1,US,Malibu,90265,34.039,-118.641,USD,14106692,18835756,2024-01-03,90.0,2023-10,0,31,True,73.5,19,285,285,3,5685,5685
Entire rental unit,entire_home,3,3,US,Malibu,90263,34.03341,-118.72288,USD,14220873,86397681,2024-01-03,225.0,2023-10,2,29,True,100,28,477,477,1,13581,13581
Entire rental unit,entire_home,1,1,US,Malibu,90265,34.03562,-118.6116,USD,15058446,76794295,2024-01-03,200.0,2023-10,0,31,True,89.0,23,488,488,0,11224,11224
Entire guest suite,entire_home,1,1,US,Malibu,90263,34.04056,-118.71381,USD,15075095,83617299,2024-01-03,150.0,2023-10,0,31,True,69.7,18,359,359,0,6462,6462
Room in boutique hotel,private_room,1,1,US,Malibu Beach,90263,34.03743,-118.6734,USD,15720440,101555046,2024-01-03,225.0,2023-10,0,31,True,89.0,23,277,277,1,6596,6596
Entire rental unit,entire_home,1,1,US,Malibu,90263,34.0378,-118.67303,USD,15721485,101555046,2024-01-03,,2023-10,0,31,True,81.3,21,312,312,1,6552,6552
Entire rental unit,entire_home,1,1,US,Malibu Beach,90263,34.03775,-118.67219,USD,15721641,101555046,2024-01-03,220.0,2023-10,0,31,True,100,28,393,393,2,11444,11444
Entire condo,entire_home,2,1,US,Malibu,90263,34.03831,-118.66539,USD,16532427,108746946,2024-01-03,,2023-10,0,31,True,77.4,20,746,746,0,14920,14920
Entire bungalow,entire_home,1,1,US,Malibu,90263,34.039,-118.673,USD,16945718,21817201,2024-01-03,150.0,2023-10,0,31,True,50.3,13,469,469,0,6097,6097
Entire villa,entire_home,7,7,US,Malibu,90265,34.008,-118.813,USD,17139279,115196684,2024-01-03,,2023-10,0,31,True,0.0,0,6000,6000,0,0,0
Entire guest suite,entire_home,4,4,US,Malibu,90263,34.032,-118.725,USD,17892276,122562353,2024-01-03,350.0,2023-10,2,29,True,33.1,8,1468,1468,0,11744,11744
Entire home,entire_home,4,3,US,Malibu,90265,34.028,-118.835,USD,18253804,52136082,2024-01-03,300.0,2023-10,17,14,True,0.0,0,995,995,0,0,0
Entire home,entire_home,3,2,US,Malibu,90265,34.03822,-118.61592,USD,18506757,359851032,2024-01-03,140.0,2023-10,0,31,True,100,29,554,554,0,16066,16066
Entire condo,entire_home,2,2,US,Malibu,90265,34.03314,-118.72672,USD,18757834,120384454,2024-01-03,,2023-10,0,31,True,31.0,8,800,800,1,6400,6400
Entire guest suite,entire_home,1,1,US,Malibu,90265,34.03665,-118.86421,USD,18928368,76438110,2024-01-03,200.0,2023-10,0,31,True,11.6,3,950,950,1,3050,3050
Entire home,entire_home,4,4,US,Malibu,90265,34.03399,-118.74203,USD,18929534,123527889,2023-11-29,500.0,2023-10,0,31,True,15.5,4,913,913,0,3652,3652
Entire home,entire_home,2,2,US,Malibu,90265,34.03368,-118.74155,USD,19210277,123527889,2023-11-29,,2023-10,0,31,True,19.4,5,810,810,0,4050,4050
Entire guesthouse,entire_home,Studio,1,US,Malibu,90265,34.043,-118.645,USD,20192212,8398671,2024-01-03,130.0,2023-10,0,31,True,100,26,338,338,0,8788,8788
Entire villa,entire_home,5,5,US,Malibu,90265,34.03856,-118.65106,USD,20470279,18269822,2024-01-03,0.0,2023-10,0,31,True,19.4,5,7202,7202,1,36010,36010
Entire villa,entire_home,5,5,US,Malibu,90265,34.03497,-118.68775,USD,20471627,2843111,2024-01-03,0.0,2023-10,0,31,True,7.7,2,4800,4800,2,9600,9600
Entire villa,entire_home,5,6,US,Malibu,90265,34.03266,-118.77847,USD,20473033,182442895,2024-01-03,0.0,2023-10,0,31,True,0.0,0,4000,4000,0,0,0
Entire villa,entire_home,6,5,US,Malibu,90265,34.03369,-118.74382,USD,20475139,2843111,2024-01-03,0.0,2023-10,0,31,True,7.7,2,3900,3900,2,7800,7800
Entire villa,entire_home,7,6,US,Malibu,90265,34.03013,-118.84517,USD,20475245,2095936,2024-01-03,0.0,2023-10,0,31,True,7.7,2,6250,6250,2,12500,12500
Entire home,entire_home,2,1,US,Malibu,90265,34.03756,-118.61055,USD,20929392,413189869,2024-01-03,250.0,2023-10,0,31,True,65.8,17,512,512,0,8704,8704
Entire home,entire_home,4,4,US,Malibu,90265,34.041,-118.671,USD,21228082,24303784,2024-01-03,500.0,2023-10,8,23,True,62.6,12,1749,1749,3,22488,22488
Entire home,entire_home,4,4,US,Malibu,90265,34.03834,-118.86514,USD,21820337,159061863,2024-01-03,,2023-10,0,31,True,0.0,0,1196,1196,0,0,0
Entire condo,entire_home,2,2,US,Malibu,90263,34.03996,-118.66899,USD,22815529,23118355,2024-01-03,,2023-10,0,31,True,50.3,13,550,550,1,7150,7150
Entire condo,entire_home,2,2,US,Malibu,90263,34.03185,-118.72712,USD,23423122,120384454,2024-01-03,,2023-10,0,31,True,46.5,12,815,815,2,9780,9780
Entire home,entire_home,3,2,US,Malibu,90265,34.043,-118.741,USD,23975234,180325805,2024-01-03,,2023-10,0,31,True,38.7,10,550,550,0,5500,5500
Entire home,entire_home,4,4,US,Malibu,90265,34.039,-118.658,USD,24084042,4656446,2024-01-03,500.0,2023-10,7,24,True,75.0,15,1853,1853,1,28295,28295
Entire home,entire_home,4,4,US,Malibu,90265,34.037,-118.639,USD,24116473,24303784,2024-01-03,,2023-10,5,26,True,18.5,4,1709,1709,0,6836,6836
Tiny home,entire_home,1,1,US,Malibu,90265,34.02527,-118.80007,USD,24247972,75166,2024-01-03,,2023-10,0,31,True,96.8,25,232,232,3,5800,5800
Entire home,entire_home,3,2,US,Malibu,90265,34.03639,-118.63653,USD,24307533,183372162,2024-01-03,,2023-10,0,31,True,27.1,7,914,914,0,6398,6398
Entire home,entire_home,2,3,US,Malibu,90265,34.037,-118.865,USD,24606474,5523906,2024-01-03,385.0,2023-10,2,29,True,20.7,5,893,893,1,4850,4850
